PROTO, Proto-Turkic
ATU, otk, http://www.lexvo.org/page/iso639-3/otk
KRH, xqa, http://www.lexvo.org/page/iso639-3/xqa
TRK, tur, http://www.lexvo.org/page/iso639-3/tur
TAT, tat, http://www.lexvo.org/page/iso639-3/tat
CHG, chg, http://www.lexvo.org/page/iso639-3/chg
UZB, uzb, http://www.lexvo.org/page/iso639-3/uzb
UIG, uig, http://www.lexvo.org/page/iso639-3/uig
SJG, ybe, http://www.lexvo.org/page/iso639-3/ybe
AZB, azb, http://www.lexvo.org/page/iso639-3/azb
TRM, tuk, http://www.lexvo.org/page/iso639-3/tuk
HAK, kjh, http://www.lexvo.org/page/iso639-3/kjh
SHR, cjs, http://www.lexvo.org/page/iso639-3/cjs
ALT, xal, http://www.lexvo.org/page/iso639-3/xal
KHAL,kjf, http://www.lexvo.org/page/iso639-3/kjf
CHV, chv, http://www.lexvo.org/page/iso639-3/chv
JAK, sah, http://www.lexvo.org/page/iso639-3/sah
DOLG,dlg, http://www.lexvo.org/page/iso639-3/dlg
TUV, tyv, http://www.lexvo.org/page/iso639-3/tyv
TOF, kim, http://www.lexvo.org/page/iso639-3/kim
KRG, kir, http://www.lexvo.org/page/iso639-3/kir
KAZ, kaz, http://www.lexvo.org/page/iso639-3/kaz
NOGX,nog, http://www.lexvo.org/page/iso639-3/nog
BAS, bak, http://www.lexvo.org/page/iso639-3/bak
BLKX,krc, http://www.lexvo.org/page/iso639-3/krc
GAGX,gag, http://www.lexvo.org/page/iso639-3/gag
KRMX,kdr, http://www.lexvo.org/page/iso639-3/kdr
KLPX,kaa, http://www.lexvo.org/page/iso639-3/kaa
SAL, slr, http://www.lexvo.org/page/iso639-3/slr
QUM, kum, http://www.lexvo.org/page/iso639-3/kum